FMID,MarketName,street,city,County,State,zip,Season1_Start_Date,Season1_End_Date,Season1Time,Season2_Start_Date,Season2_End_Date,Season2Time,Season3_Start_Date,Season3_End_Date,Season3Time,Season4_Start_Date,Season4_End_Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1018261,CALEDONIA FARMERS MARKET ASSOCIATION  DANVILLE,,DANVILLE,CALEDONIA,VERMONT,05828,06/14/2017,08/30/2017,Wed: 9:00 AM-1:00 PM;,09/06/2017,10/18/2017,Wed: 2:00 PM-6:00 PM;,,,,,,,-72.140337,44.411036,,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,2017-06-20T22:43:57Z
1018318,STEARNS HOMESTEAD FARMERS MARKET,6975 RIDGE ROAD,PARMA,CUYAHOGA,OHIO,,06/24/2017,09/30/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,,,,-81.7339387,41.3748009,,Y,N,N,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,2017-06-21T17:15:01Z
1009364,106 S MAIN STREET FARMERS MARKET,106 S MAIN STREET,SIX MILE,,SOUTH CAROLINA,29682,,,,,,,,,,,,,-82.8187,34.8042,,Y,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-01-01T00:00:00Z
1010691,10TH STEET COMMUNITY FARMERS MARKET,10TH STREET AND POPLAR,LAMAR,BARTON,MISSOURI,64759,04/02/2014,11/30/2014,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,,,,-94.2746191,37.495628,,Y,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,2014-10-28T09:49:46Z
1002454,112ST MADISON AVENUE,112TH MADISON AVENUE,NEW YORK,NEW YORK,NEW YORK,10029,July,November,Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;,,,,,,,,,,-73.9493,40.7939,Private business parking lot,N,N,Y,Y,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,2012-03-01T10:38:22Z
1011100,12 SOUTH FARMERS MARKET,3000 GRANNY WHITE PIKE,NASHVILLE,DAVIDSON,TENNESSEE,37204,05/05/2015,10/27/2015,Tue: 3:30 PM-6:30 PM;,,,,,,,,,,-86.790709,36.11837,,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,2015-05-01T10:40:56Z
1009845,125TH STREET FRESH CONNECT FARMERS MARKET,163 WEST 125TH STREET AND ADAM CLAYTON POWELL JR BLVD,NEW YORK,NEW YORK,NEW YORK,10027,06/10/2014,11/25/2014,Tue: 10:00 AM-7:00 PM;,,,,,,,,,,-73.9482477,40.8089533,Federal/State government building grounds,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,2014-04-07T16:32:01Z
1005586,12TH  AND  BRANDYWINE URBAN FARM MARKET,12TH  AND  BRANDYWINE STREETS,WILMINGTON,NEW CASTLE,DELAWARE,19801,05/16/2014,10/17/2014,Fri: 8:00 AM-11:00 AM;,,,,,,,,,,-75.53446,39.742117,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2014-04-03T15:43:31Z
1008071,14 AND U FARMERS MARKET,1400 U STREET NW,WASHINGTON,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,20009,05/03/2014,11/22/2014,Sat: 9:00 AM-1:00 PM;,,,,,,,,,,-77.0320505,38.9169984,Other,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,2014-04-05T13:49:04Z
1012710,14TH  AND  KENNEDY STREET FARMERS MARKET,5500 COLORADO AVENUE NW,WASHINGTON,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,20011,04/09/2016,11/19/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,,,,-77.0334486,38.9559783,,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,2016-07-20T11:16:24Z
1016782,175TH STREET GREENMARKET,175TH STREET BETWEEN WADSWORTH  AND  BROADWAY,NEW YORK,NEW YORK,NEW YORK,10033,06/29/2017,11/22/2017,Tue: 8:00 AM-6:00 PM;,,,,,,,,,,-73.938049,40.846354,,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,12/16/2016 12:06:16 PM
1003877,17TH AVE MARKET,1622 6TH ST NE,MINNEAPOLIS,HENNEPIN,MINNESOTA,55413,June,September,Wed:3:00 pm - 7:00 pm;,,,,,,,,,,-93.2591,45.0044,"Faith-based institution (e.g., church, mosque, synagogue, temple)",N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011-04-28T14:33:54Z
1016784,17TH STREET FARMERS MARKET,100 NORTH 17TH ST,RICHMOND,RICHMOND CITY,VIRGINIA,23219,06/08/2017,,Thu: 3:00 PM-6:30 PM;,,,,,,,,,,-77.428364,37.53385,,Y,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,12/29/2016 12:13:04 PM
1010968,18TH AND CHRISTIAN FARMERS MARKET,18TH STREET AND CHRISTIAN STREET,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,19146,06/01/2015,11/15/2015,Thu: 3:00 PM-7:00 PM;,,,,,,,,,,-75.173431,39.940943,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T15:33:48Z
